Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"datagouv-funfacts","https://github.com/etalab","https://github.com/etalab/datagouv-funfacts",,false,"2016-12-20T10:21:39Z","2018-11-27T09:30:24Z",,2,0,"MIT License",0,"Jupyter Notebook"
"secateur","https://github.com/etalab","https://github.com/etalab/secateur","Dynamic CSV splitting based on columns’ values.",false,"2017-01-16T19:53:51Z","2018-01-22T18:48:07Z",,1,0,"MIT License",1,"Python"
"blog.data.gouv.fr","https://github.com/etalab","https://github.com/etalab/blog.data.gouv.fr","Pelican blog for Data.gouv.fr",false,"2017-01-16T20:03:49Z","2018-04-13T11:12:16Z","https://blog.data.gouv.fr",1,4,"MIT License",4,"CSS"
"ogptoolbox","https://github.com/etalab","https://github.com/etalab/ogptoolbox",,false,"2017-02-27T17:05:26Z","2018-01-22T18:48:16Z",,2,1,"Other",1,"Elm"
"inspire-cartes-producteurs","https://github.com/etalab","https://github.com/etalab/inspire-cartes-producteurs","Cartes de producteurs publiant des données géo ouvertes",false,"2017-02-28T11:33:12Z","2018-02-23T03:39:50Z","https://etalab.github.io/inspire-cartes-producteurs",1,0,,0,"HTML"
"cadastre","https://github.com/etalab","https://github.com/etalab/cadastre","Scripts de préparation des données cadastrales diffusées par Etalab",false,"2017-03-15T14:22:34Z","2018-12-10T19:41:16Z","",22,1,,19,"JavaScript"
"sirene_as_api","https://github.com/etalab","https://github.com/etalab/sirene_as_api","Une API pour le fichier sirene",false,"2017-03-27T10:11:09Z","2018-12-07T13:14:16Z","",24,11,"MIT License",2,"Ruby"
"sirene_as_api_ansible","https://github.com/etalab","https://github.com/etalab/sirene_as_api_ansible","Ansible to install your own sirene_as_api server",false,"2017-04-03T13:24:55Z","2018-10-24T19:00:39Z",,2,1,,1,
"licence-ouverte","https://github.com/etalab","https://github.com/etalab/licence-ouverte","La licence qui encourage la réutilisation des données publiques",false,"2017-04-19T13:04:27Z","2018-11-22T15:29:30Z","https://www.etalab.gouv.fr/open-licence",2,2,"Other",0,
"speedtracker","https://github.com/etalab","https://github.com/etalab/speedtracker","📉 Visualisation layer and data store for SpeedTracker",true,"2017-04-27T19:08:41Z","2018-01-22T18:48:32Z","https://speedtracker.org",0,0,,0,"JavaScript"
"mastodon-stats","https://github.com/etalab","https://github.com/etalab/mastodon-stats",,false,"2017-05-03T10:09:28Z","2018-01-22T18:48:33Z",,0,0,,0,
"fantoir","https://github.com/etalab","https://github.com/etalab/fantoir","Boîte à outils JavaScript permettant de manipuler facilement les données FANTOIR",false,"2017-05-08T13:37:35Z","2018-11-21T16:16:07Z","",0,0,"MIT License",0,"JavaScript"
"contribution-adresse","https://github.com/etalab","https://github.com/etalab/contribution-adresse","Outil de contribution citoyenne aux référentiels d'adresses",false,"2017-05-11T14:44:12Z","2018-01-22T18:48:36Z","https://contribution-adresse.herokuapp.com",2,1,"GNU Affero General Public License v3.0",5,"JavaScript"
"geoids","https://github.com/etalab","https://github.com/etalab/geoids","🇬🇧 Consistent identifiers for geographical levels • 🇫🇷 Identifiants cohérents pour niveaux géographiques",false,"2017-05-30T13:40:28Z","2018-07-23T08:38:38Z",,1,0,,0,
"format-subventions","https://github.com/etalab","https://github.com/etalab/format-subventions",,false,"2017-06-06T17:49:36Z","2018-05-07T10:10:36Z",,4,0,,1,
"Pathologies_allergiques","https://github.com/etalab","https://github.com/etalab/Pathologies_allergiques","Petite étude sur les pathologies allergiques en France",false,"2017-06-09T10:06:43Z","2018-02-23T03:30:48Z",,3,0,,0,"Jupyter Notebook"
"carto_actions_collectives","https://github.com/etalab","https://github.com/etalab/carto_actions_collectives",,false,"2017-06-12T12:00:23Z","2018-01-22T18:48:44Z",,0,0,,0,"HTML"
"osm-wms","https://github.com/etalab","https://github.com/etalab/osm-wms","Expérimentation d'un service WMS diffusant les données OSM France",false,"2017-06-12T21:09:10Z","2018-12-19T14:46:29Z",,1,0,,0,"Python"
